CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence
C4017553	C4017554	CHE*390V PHENOTYPE	BCHE*390V PHENOTYPE	491394	491394	491394	0	1
C4017550	C4017551	CHE*243M PHENOTYPE	BCHE*243M PHENOTYPE	491394	491394	491394	0	1
C4017544	C4017545	CHE*70G PHENOTYPE	BCHE*70G PHENOTYPE	491394	491394	491394	0	1
C0018798	C3278404	Congenital Heart Defects	"MULTIPLE JOINT DISLOCATIONS, SHORT STATURE, AND CRANIOFACIAL DYSMORPHISM WITH OR WITHOUT CONGENITAL HEART DEFECTS"	147610	147613	147610	0	1
C0011847	C0011860	Diabetes	"Diabetes Mellitus, Non-Insulin-Dependent"	600000	142114	142114	0	1
C0000768	C3553943	Congenital Abnormality	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	591498	168719	128689	1	2
C0025362	C3151356	Mental Retardation	"MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION"	112283	112283	112283	0	1
C0023890	C0023895	Liver Cirrhosis	Liver diseases	114125	587815	104940	0	1
C0024623	C1708349	Malignant neoplasm of stomach	Hereditary Diffuse Gastric Cancer	103330	103320	103240	0	1
C0002395	C0011265	Alzheimer's Disease	Presenile dementia	139725	98853	98300	0	1
C0002395	C0750901	Alzheimer's Disease	"Alzheimer Disease, Early Onset"	139725	98242	98242	0	1
C0027051	C0155626	Myocardial Infarction	Acute myocardial infarction	234627	89185	89185	0	1
C0007102	C0009402	Malignant tumor of colon	Colorectal Carcinoma	85229	201452	79830	0	1
C0040053	C0042487	Thrombosis	Venous Thrombosis	206016	78381	78381	0	1
C0030567	C1868675	Parkinson Disease	"PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE"	73702	73527	65004	0	3
C0007115	C0549473	Malignant neoplasm of thyroid	Thyroid carcinoma	67377	68555	64562	0	1
C0006142	C0007097	Malignant neoplasm of breast	Carcinoma	309961	600000	55748	0	1
C0001418	C0242379	Adenocarcinoma	Malignant neoplasm of lung	392635	261819	50467	0	3
C0021655	C0028754	Insulin Resistance	Obesity	113459	294455	44018	1	3
C0020676	C3665349	Hypothyroidism	Secondary hypothyroidism	42860	42860	42860	0	1
C0028754	C4016383	Obesity	"OBESITY, ASSOCIATION WITH"	294455	42427	42427	0	1
C0494475	C0543888	Tonic - clonic seizures	Epileptic encephalopathy	114323	113136	41353	1	2
C0010054	C0027051	Coronary Arteriosclerosis	Myocardial Infarction	165082	234627	38666	0	3
C0021655	C0854110	Insulin Resistance	Insulin-resistant diabetes mellitus	113459	39276	37831	0	1
C0011847	C0020459	Diabetes	Hyperinsulinism	600000	81647	37285	0	3
C0030567	C0398794	Parkinson Disease	Hypopigmentation-immunodeficiency disease	73702	600000	36890	1	2
C0007097	C0346429	Carcinoma	Multiple malignancy	600000	215327	36397	1	2
C0020443	C0020473	Hypercholesterolemia	Hyperlipidemia	42411	77353	31001	0	1
C0027794	C0152426	Neural Tube Defects	Craniorachischisis	29820	29839	29820	0	1
C0026760	C0038015	Multiple Epiphyseal Dysplasia	Spondyloepiphyseal Dysplasia	29049	29077	28892	0	1
C0038015	C3541456	Spondyloepiphyseal Dysplasia	"Spondyloepiphyseal Dysplasia Tarda, X-Linked"	29077	28884	28884	0	1
C0006142	C0242379	Malignant neoplasm of breast	Malignant neoplasm of lung	309961	261819	28058	0	1
C0029463	C1261473	Osteosarcoma	Sarcoma	33353	167461	27936	0	3
C0003486	C0162871	Aortic Aneurysm	"Aortic Aneurysm, Abdominal"	60865	27199	27199	0	1
C0018798	C0152021	Congenital Heart Defects	Congenital heart disease	147610	38751	26640	0	1
C0011860	C0028754	"Diabetes Mellitus, Non-Insulin-Dependent"	Obesity	142114	294455	24677	0	1
C0011860	C0021655	"Diabetes Mellitus, Non-Insulin-Dependent"	Insulin Resistance	142114	113459	24543	0	2
C0014547	C0543888	"Epilepsies, Partial"	Epileptic encephalopathy	22861	113136	22766	0	1
C0006142	C1134719	Malignant neoplasm of breast	Invasive Ductal Breast Carcinoma	309961	24352	22553	0	1
C0018799	C0152021	Heart Diseases	Congenital heart disease	600000	38751	22251	0	1
C0007193	C1449563	"Cardiomyopathy, Dilated"	"Cardiomyopathy, Familial Idiopathic"	21868	21940	21868	0	1
C3276787	C3463824	"MYELODYSPLASTIC SYNDROME, SUSCEPTIBILITY TO"	MYELODYSPLASTIC SYNDROME	21310	24379	21310	0	1
C0028754	C0028756	Obesity	"Obesity, Morbid"	294455	21148	21148	0	1
C0011847	C0020615	Diabetes	Hypoglycemia	600000	45772	20965	0	3
C0004352	C0524528	Autistic Disorder	Pervasive Development Disorder	21522	30510	20188	0	1
C0030305	C0149521	Pancreatitis	"Pancreatitis, Chronic"	65210	20064	20064	0	1
C0006142	C0346429	Malignant neoplasm of breast	Multiple malignancy	309961	215327	20055	1	2
C0029456	C0029458	Osteoporosis	"Osteoporosis, Postmenopausal"	81415	19012	19012	0	1
C0004238	C2677106	Atrial Fibrillation	"Atrial Fibrillation, Familial, 7"	72805	18813	18813	0	1
C0002736	C0085084	Amyotrophic Lateral Sclerosis	Motor Neuron Disease	24280	29823	18391	0	1
C0011860	C0020459	"Diabetes Mellitus, Non-Insulin-Dependent"	Hyperinsulinism	142114	81647	17678	0	1
C0004238	C3151431	Atrial Fibrillation	"ATRIAL FIBRILLATION, FAMILIAL, 9"	72805	17410	17410	0	1
C0020619	C3280644	Hypogonadism	"LEUKODYSTROPHY, HYPOMYELINATING, 8, WITH OR WITHOUT OLIGODONTIA AND/OR HYPOGONADOTROPIC HYPOGONADISM"	17394	17394	17394	0	1
C0007193	C0878544	"Cardiomyopathy, Dilated"	Cardiomyopathies	21868	89623	17038	0	1
C0018798	C0018817	Congenital Heart Defects	Atrial Septal Defects	147610	17477	17009	0	1
C0018798	C0018818	Congenital Heart Defects	Ventricular Septal Defects	147610	17602	16847	0	1
C0030421	C0031511	Paraganglioma	Pheochromocytoma	23102	21435	15813	0	3
C0004238	C3151464	Atrial Fibrillation	"ATRIAL FIBRILLATION, FAMILIAL, 10"	72805	15668	15668	0	1
C0007194	C0878544	Hypertrophic Cardiomyopathy	Cardiomyopathies	18881	89623	15263	0	1
C0011849	C0085207	Diabetes Mellitus	Gestational Diabetes	454011	19020	15022	0	1
C0011860	C0020456	"Diabetes Mellitus, Non-Insulin-Dependent"	Hyperglycemia	142114	65305	14927	0	3
C0006142	C0009402	Malignant neoplasm of breast	Colorectal Carcinoma	309961	201452	14860	1	3
C0025362	C0796244	Mental Retardation	"MENTAL RETARDATION, X-LINKED, WITH OR WITHOUT SEIZURES, ARX-RELATED"	112283	14638	14536	0	1
C0005283	C3841475	beta Thalassemia	beta^+^ Thalassemia	14284	14284	14284	0	1
C3841475	C4017522	beta^+^ Thalassemia	BETA-SHOWA-YAKUSHIJI THALASSEMIA	14284	26719	14284	0	1
C0005283	C4017522	beta Thalassemia	BETA-SHOWA-YAKUSHIJI THALASSEMIA	14284	26719	14284	0	1
C0009402	C0242379	Colorectal Carcinoma	Malignant neoplasm of lung	201452	261819	14247	1	3
C0004238	C3279695	Atrial Fibrillation	"ATRIAL FIBRILLATION, FAMILIAL, 12"	72805	14029	14029	0	1
C1136249	C3714756	"Mental Retardation, X-Linked"	Intellectual Disability	14636	97825	13793	1	2
C0009402	C0346429	Colorectal Carcinoma	Multiple malignancy	201452	215327	13691	1	2
C0032461	C1527405	Polycythemia	Erythrocytosis	14175	14085	13618	0	1
C0020678	C3148823	Hypotrichosis	"WOOLLY HAIR, AUTOSOMAL RECESSIVE 2, WITH OR WITHOUT HYPOTRICHOSIS"	13599	13599	13599	0	1
C0000768	C0158646	Congenital Abnormality	Cleft palate with cleft lip	591498	15183	13581	1	3
C1704423	C4016108	Milroy Disease	"LYMPHEDEMA, HEREDITARY, I"	13572	13495	13495	0	1
C0006267	C2751324	Bronchiectasis	BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 3	12588	12649	12588	0	1
C0006267	C2749757	Bronchiectasis	BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE 1	12588	12667	12588	0	1
C0011847	C0158981	Diabetes	Neonatal diabetes mellitus	600000	12461	12461	0	1
C0002878	C0005283	"Anemia, Hemolytic"	beta Thalassemia	74976	14284	12293	1	3
C0002875	C4017522	Cooley's anemia	BETA-SHOWA-YAKUSHIJI THALASSEMIA	12075	26719	12057	0	1
C0002875	C3841475	Cooley's anemia	beta^+^ Thalassemia	12075	14284	11965	0	1
C0002875	C0005283	Cooley's anemia	beta Thalassemia	12075	14284	11965	0	1
C0751249	C0917801	Chronic Insomnia	Sleeplessness	13418	12298	11828	0	1
C0004238	C3279693	Atrial Fibrillation	"ATRIAL FIBRILLATION, FAMILIAL, 11"	72805	11659	11659	0	1
C0006142	C3469522	Malignant neoplasm of breast	"BREAST CANCER, SUSCEPTIBILITY TO"	309961	12696	11167	0	3
C0026850	C0917713	Muscular Dystrophy	Becker Muscular Dystrophy	33784	11109	11109	0	1
C0014547	C0494475	"Epilepsies, Partial"	Tonic - clonic seizures	22861	114323	10991	0	3
C0013264	C0917713	"Muscular Dystrophy, Duchenne"	Becker Muscular Dystrophy	10808	11109	10808	0	1
C0013264	C0026850	"Muscular Dystrophy, Duchenne"	Muscular Dystrophy	10808	33784	10808	0	1
C0011854	C2675866	"Diabetes Mellitus, Insulin-Dependent"	"DIABETES MELLITUS, INSULIN-DEPENDENT, 20"	92179	10596	10596	0	1
C0009402	C4229681	Colorectal Carcinoma	Increased risk of colorectal cancer	201452	11873	10506	0	3
C0030567	C1846862	Parkinson Disease	PARKINSON DISEASE 8	73702	10370	10370	0	1
C0018798	C0039685	Congenital Heart Defects	Tetralogy of Fallot	147610	11426	10354	0	1
C0018051	C0019269	Gonadal Dysgenesis	Hermaphroditism	13319	42981	10222	0	3
C0026918	C0694566	Mycobacterium Infections	"Atypical Mycobacterial Infection, Disseminated"	225629	10128	10120	0	1
C0694566	C3266863	"Atypical Mycobacterial Infection, Disseminated"	"Atypical Mycobacteriosis, Familial"	10128	10100	10100	0	1
C0026918	C3266863	Mycobacterium Infections	"Atypical Mycobacteriosis, Familial"	225629	10100	10100	0	1
C0018995	C0392514	Hemochromatosis	Hereditary hemochromatosis	10363	9950	9950	0	1
C0009402	C3272841	Colorectal Carcinoma	MUTYH-Associate Polyposis	201452	18037	9730	1	3
C0002395	C0333463	Alzheimer's Disease	Senile Plaques	139725	10879	9581	0	1
C0011860	C0018799	"Diabetes Mellitus, Non-Insulin-Dependent"	Heart Diseases	142114	600000	9451	1	2
C0034069	C0206062	Pulmonary Fibrosis	"Lung Diseases, Interstitial"	42637	60977	9315	0	1
C0020443	C0020538	Hypercholesterolemia	Hypertensive disease	42411	480148	9195	1	2
C0242379	C2239176	Malignant neoplasm of lung	Liver carcinoma	261819	130028	9140	1	3
C0346429	C1261473	Multiple malignancy	Sarcoma	215327	167461	8935	1	2
C0242383	C3151060	Age related macular degeneration	"Macular Degeneration, Age-Related, 6"	29421	8928	8928	0	1
C0020456	C0020459	Hyperglycemia	Hyperinsulinism	65305	81647	8827	1	3
C0020473	C0020557	Hyperlipidemia	Hypertriglyceridemia	77353	14669	8748	0	1
C0018995	C0282193	Hemochromatosis	Iron Overload	10363	17943	8682	0	3
C0018799	C0018817	Heart Diseases	Atrial Septal Defects	600000	17477	8587	0	3
C0032580	C3272841	Adenomatous Polyposis Coli	MUTYH-Associate Polyposis	8907	18037	8569	0	1
C0003811	C0023976	Cardiac Arrhythmia	Long QT Syndrome	218808	9236	8395	1	3
C0032914	C1836255	Pre-Eclampsia	Preeclampsia Eclampsia 4	32302	8755	8393	0	3
C0006142	C0376358	Malignant neoplasm of breast	Malignant neoplasm of prostate	309961	120279	8378	0	2
C0009402	C0024623	Colorectal Carcinoma	Malignant neoplasm of stomach	201452	103330	8372	1	3
C0085786	C1800706	Hamman-Rich syndrome	Idiopathic Pulmonary Fibrosis	42650	8280	8280	0	1
C0151468	C0206682	Thyroid Gland Follicular Adenoma	Follicular thyroid carcinoma	63922	9234	8246	0	2
C0035334	C0854723	Retinitis Pigmentosa	Retinal Dystrophies	10816	9449	8162	1	3
C0014544	C4281785	Epilepsy	Childhood Absence Epilepsy	140074	8098	8098	0	1
C0020538	C0241889	Hypertensive disease	Family history	480148	117019	8062	1	2
C0020550	C0040156	Hyperthyroidism	Thyrotoxicosis	47384	9193	8035	0	1
C0085110	C2700553	Severe Combined Immunodeficiency	Omenn Syndrome	7990	8054	7990	0	1
C0085110	C1865371	Severe Combined Immunodeficiency	"SEVERE COMBINED IMMUNODEFICIENCY, ATHABASKAN-TYPE"	7990	7990	7990	0	1
C0007103	C0476089	Malignant neoplasm of endometrium	Endometrial Carcinoma	12195	32459	7976	0	1
C0025202	C0278996	melanoma	Cancer of Head and Neck	122636	312581	7971	1	3
C0085584	C0751651	Encephalopathies	Mitochondrial Diseases	600000	37881	7937	1	2
C0333463	C0750901	Senile Plaques	"Alzheimer Disease, Early Onset"	10879	98242	7814	0	3
C0018799	C3276096	Heart Diseases	ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS	600000	18003	7710	1	2
C0018798	C0040761	Congenital Heart Defects	Transposition of Great Vessels	147610	7827	7642	0	1
C0009402	C2239176	Colorectal Carcinoma	Liver carcinoma	201452	130028	7560	1	3
C0346429	C2239176	Multiple malignancy	Liver carcinoma	215327	130028	7504	1	2
C0149871	C1997614	Deep Vein Thrombosis	Thromboembolism of vein	82283	10161	7465	0	3
C0011860	C0020615	"Diabetes Mellitus, Non-Insulin-Dependent"	Hypoglycemia	142114	45772	7461	0	3
C0006142	C0025202	Malignant neoplasm of breast	melanoma	309961	122636	7389	0	3
C0020443	C3807409	Hypercholesterolemia	Low LDL cholesterol	42411	39387	7387	1	2
C0006142	C1261473	Malignant neoplasm of breast	Sarcoma	309961	167461	7252	1	3
