CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs								 
C0011847	C0011860	Diabetes	"Diabetes Mellitus, Non-Insulin-Dependent"	600000	142114	142114								
C0030567	C0398794	Parkinson Disease	Hypopigmentation-immunodeficiency disease	73702	600000	36890								
C0030567	C1846862	Parkinson Disease	PARKINSON DISEASE 8	73702	10370	10370								
C0018051	C0019269	Gonadal Dysgenesis	Hermaphroditism	13319	42981	10222								
C0018798	C0040761	Congenital Heart Defects	Transposition of Great Vessels	147610	7827	7642								
C0346429	C2239176	Multiple malignancy	Liver carcinoma	215327	130028	7504								
C0007115	C0238462	Malignant neoplasm of thyroid	Medullary carcinoma of thyroid	67377	7190	6592								
C0010674	C0746102	Cystic Fibrosis	Chronic lung disease	49380	127813	6518								
C0029464	C0432272	Osteosclerosis	Van Buchem disease	6048	28959	5419								
C0543888	C3714756	Epileptic encephalopathy	Intellectual Disability	113136	97825	4559								
C0795907	C4016770	CONOTRUNCAL ANOMALY FACE SYNDROME	CONOTRUNCAL ANOMALY FACE SYNDROME/VELOCARDIOFACIAL SYNDROME	2576	2572	2572								
C0035372	C1136249	Rett Syndrome	"Mental Retardation, X-Linked"	3467	14636	2434								
C0018798	C0020626	Congenital Heart Defects	Hypoparathyroidism	147610	8473	2131								
C0268301	C3489793	Reifenstein Syndrome	"46,XY Sex Reversal 3"	2462	4064	2010								
C0013336	C0857439	Dwarfism	Pituitary hormone deficiency	17277	18247	1629								
C0000768	C0009402	Congenital Abnormality	Colorectal Carcinoma	591498	201452	1491								
C0000768	C0035334	Congenital Abnormality	Retinitis Pigmentosa	591498	10816	1408								
C0027726	C0403397	Nephrotic Syndrome	Steroid-resistant nephrotic syndrome	21763	1278	1278								
C0020443	C0241889	Hypercholesterolemia	Family history	42411	117019	1196								
C0152200	C1849792	Achromatopsia	Achromatopsia 3	4390	1011	1011								
C0018799	C0030567	Heart Diseases	Parkinson Disease	600000	73702	999								
C0241889	C0494463	Family history	"Alzheimer Disease, Late Onset"	117019	98242	913								
C0733682	C3536984	"Hypophosphatemic Rickets, X-Linked Dominant"	"Vitamin D-Resistant Rickets, X-Linked"	889	889	889								
C0241889	C4229681	Family history	Increased risk of colorectal cancer	117019	11873	870								
C0149871	C0398625	Deep Vein Thrombosis	Protein C Deficiency	82283	1973	777								
C0029456	C0038015	Osteoporosis	Spondyloepiphyseal Dysplasia	81415	29077	769								
C0206062	C0476273	"Lung Diseases, Interstitial"	Respiratory distress	60977	51307	727								
C0006142	C2674950	Malignant neoplasm of breast	"LUNG CANCER, SUSCEPTIBILITY TO"	309961	5827	651								
C0002878	C0271990	"Anemia, Hemolytic"	delta-Thalassemia	74976	660	593								
C0000768	C0014859	Congenital Abnormality	Esophageal Neoplasms	591498	53754	415								
C0549473	C1833921	Thyroid carcinoma	Familial medullary thyroid carcinoma	68555	398	398								
C0006142	C0035412	Malignant neoplasm of breast	Rhabdomyosarcoma	309961	13631	393								
C0268318	C3554241	Cholestasis of pregnancy	"CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY 3"	2082	381	381								
C1136249	C1845333	"Mental Retardation, X-Linked"	"Mental Retardation, X-Linked 45"	14636	380	380								
C0029422	C0039743	Osteochondrodysplasias	Thanatophoric Dysplasia	28883	502	380								
C0150312	C0158646	Present	Cleft palate with cleft lip	600000	15183	376								
C0035334	C3714756	Retinitis Pigmentosa	Intellectual Disability	10816	97825	354								
C0011860	C0346429	"Diabetes Mellitus, Non-Insulin-Dependent"	Multiple malignancy	142114	215327	354								
C0007115	C0079744	Malignant neoplasm of thyroid	Diffuse Large B-Cell Lymphoma	67377	24275	329								
C0009402	C1333991	Colorectal Carcinoma	Hereditary Non-Polyposis Colon Cancer Type 2	201452	516	324								
C0035334	C0339527	Retinitis Pigmentosa	Leber Congenital Amaurosis	10816	931	321								
C0004096	C0011860	Asthma	"Diabetes Mellitus, Non-Insulin-Dependent"	175845	142114	320								
C0011860	C4016103	"Diabetes Mellitus, Non-Insulin-Dependent"	"HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA, SUSCEPTIBILITY TO"	142114	5965	313								
