CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence	Name Relations	Paper Relations	Context Type	Concept Relations Type	Pct Common Relations	Num Available	Concept Relation	ID Relation	Num Relations
C0015503	C0040053	Factor VII Deficiency	Thrombosis	1829	206016	212											
C0004238	C0018818	Atrial Fibrillation	Ventricular Septal Defects	72805	17602	212											
C0027051	C0376358	Myocardial Infarction	Malignant neoplasm of prostate	234627	120279	212											
C0021359	C0848558	Infertility	Hypospadias	89090	6633	212											
C0023976	C2721586	Long QT Syndrome	Sudden arrhythmic death syndrome	9236	544	212											
C3495488	C3714873	Axenfeld-Rieger syndrome	"Axenfeld-Rieger Syndrome, Type 1"	211	211	211											
C0265341	C3714873	Rieger syndrome	"Axenfeld-Rieger Syndrome, Type 1"	308	211	211											
C0007194	C2677506	Hypertrophic Cardiomyopathy	"Cardiomyopathy, Familial Hypertrophic, 11"	18881	211	211											
C0011195	C4016265	Dejerine-Sottas Disease	"DEJERINE-SOTTAS SYNDROME, SPORADIC"	6822	212	211											
C0266548	C2678503	Axenfeld anomaly	"AXENFELD-RIEGER SYNDROME, TYPE 3"	222	211	211											
C0265341	C3495488	Rieger syndrome	Axenfeld-Rieger syndrome	308	211	211											
C0265341	C2678503	Rieger syndrome	"AXENFELD-RIEGER SYNDROME, TYPE 3"	308	211	211											
C0021359	C3553943	Infertility	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	89090	168719	211											
C1260899	C2675859	"Anemia, Diamond-Blackfan"	Diamond-Blackfan Anemia 5	870	214	211											
C0949658	C2677506	"Cardiomyopathy, Hypertrophic, Familial"	"Cardiomyopathy, Familial Hypertrophic, 11"	1512	211	211											
C0035309	C0206062	Retinal Diseases	"Lung Diseases, Interstitial"	134253	60977	211											
C0011860	C0376358	"Diabetes Mellitus, Non-Insulin-Dependent"	Malignant neoplasm of prostate	142114	120279	210											
C0021655	C0242379	Insulin Resistance	Malignant neoplasm of lung	113459	261819	210											
C1260903	C2584774	Dysfibrinogenemia	Congenital hypofibrinogenemia	418	2384	210											
C0270911	C0393814	"Charcot-Marie-Tooth Disease, Type Ia"	Hereditary liability to pressure palsies	4570	458	210											
C0860040	C2936833	BCG infection	"Mycobacterium tuberculosis, susceptibility to infection by"	6351	1828	210											
