	Original Row	CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence	Percent Common Papers	Name Relations	Paper Relations	Concept Relations Type
0	8853	C3889305	C3891922	HEMOGLOBIN BRIGHAM PHENOTYPE	HEMOGLOBIN A(2) CANADA PHENOTYPE	14	8	2	3.0		25	2	25	['N/A', '10']
1	2085	C0015503	C0015526	Factor VII Deficiency	Factor XII Deficiency	1829	871	110	2.0		12	1	12	['N/A', '10']
2	7348	C0699743	C1846672	Congenital muscular dystrophy	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2I	3138	17	4	2.0		23	2	23	[u'RO', 6]
3	8976	C0009952	C4016378	Febrile Convulsions	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 11, MILD	5067	10	2	3.0		20	0	20	['N/A', '10']
4	3529	C1876175	C3469522	Ataxia-Telangiectasia Variant	BREAST CANCER, SUSCEPTIBILITY TO	267	12696	32	4.0		11	0	11	['N/A', '10']
5	5171	C0265253	C0265279	Stickler syndrome	Kniest dysplasia	344	78	11	5.0		14	0	14	[u'RO', 6]
6	5737	C0085390	C1510426	Li-Fraumeni Syndrome	choroid plexus carcinoma, childhood	1216	39	8	7.0		20	0	20	[u'RO', 6]
7	3408	C0018553	C1868081	Hamartoma Syndrome, Multiple	Juvenile Polyposis Coli	1768	280	35	5.0		12	0	12	['N/A', '10']
8	8002	C0403553	C1857662	Renal dysplasia and retinal aplasia	COACH syndrome	108	27	3	9.0		11	0	11	['N/A', '10']
9	12384	C0006142	C4015968	Malignant neoplasm of breast	RECLASSIFIED - VARIANT OF UNKNOWN SIGNIFICANCE	309961	6	1	8.0		16	0	16	['N/A', '10']
10	11284	C1867983	C2673195	PORENCEPHALY, FAMILIAL	Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps	544	6	1	2.0		16	0	16	['N/A', '10']
11	5795	C0268276	C4310893	Juvenile GM 2 gangliosidosis	GM2-GANGLIOSIDOSIS, ADULT-ONSET	133	43	8	2.0		18	1	18	['N/A', '10']
12	5888	C1838100	C3275844	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3	DIABETES MELLITUS, TYPE II, SUSCEPTIBILITY TO	43	6764	8	2.0		18	1	18	['N/A', '10']
13	9922	C0013720	C1858084	Ehlers-Danlos Syndrome	STICKLER SYNDROME, TYPE II	3717	7	1	6.0		14	0	14	['N/A', '10']
14	6019	C1865643	C4272382	Cholestasis, progressive familial intrahepatic 3	progressive familial intrahepatic cholestasis type 2	36	138	7	2.0		19	4	19	['N/A', '10']
15	1077	C0010273	C0220658	Craniofacial Dysostosis	Pfeiffer Syndrome	5697	2199	388	3.0		17	0	17	[u'RO', 6]
16	3476	C0033806	C0334041	Pseudohypoparathyroidism	Osteoma cutis	1855	209	33	7.0		15	0	15	[u'RO', 6]
17	2032	C0338503	C0857439	Septo-Optic Dysplasia	Pituitary hormone deficiency	461	18247	117	9.0		25	0	25	[u'RN2', 4]
18	5949	C0406704	C1858562	Rudiger syndrome 1	ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME 3	45	58	7	2.0		15	0	15	[u'RO', 6]
19	7825	C0035372	C1968550	Rett Syndrome	Mental Retardation, X-Linked, Syndromic 13	3467	14	3	2.0		21	0	21	[u'RO', 6]
20	2697	C0021359	C0342384	Infertility	Idiopathic hypogonadotropic hypogonadism	89090	337	61	2.0		18	0	18	[u'RO', 6]
21	1442	C0020538	C1851511	Hypertensive disease	PREECLAMPSIA, SUSCEPTIBILITY TO	480148	818	229	2.0		27	0	27	['N/A', '10']
22	1882	C0022579	C0265334	Keratoderma	Pachyonychia Congenita	2901	450	132	4.0		29	0	29	[u'RO', 6]
23	1823	C0238111	C1096063	Lennox-Gastaut syndrome	Drug Resistant Epilepsy	1285	4695	143	3.0		11	0	11	['N/A', '10']
24	2151	C0017668	C3151568	Focal glomerulosclerosis	NEPHROTIC SYNDROME, TYPE 4	7182	635	103	3.0		16	0	16	[u'RO', 6]
25	10689	C0267663	C2678346	Congenital secretory diarrhea, sodium type	Diarrhea 3, Secretory Sodium, Congenital, Syndromic	7	4	1	2.0		25	3	25	['N/A', '10']
26	2070	C0234166	C4084968	Hyperexplexia	Hereditary Hyperekplexia	384	879	111	1.0		28	0	28	[u'RO', 6]
27	5087	C0342384	C4016133	Idiopathic hypogonadotropic hypogonadism	HYPOGONADOTROPIC HYPOGONADISM 7 WITH ANOSMIA	337	73	12	2.0		16	2	16	['N/A', '10']
28	819	C0017661	C0017662	IGA Glomerulonephritis	Glomerulonephritis, Membranoproliferative	7609	3840	669	1.0		17	1	17	[u'RO', 6]
29	9037	C1527405	C3889305	Erythrocytosis	HEMOGLOBIN BRIGHAM PHENOTYPE	14085	14	2	5.0		14	0	14	['N/A', '10']
30	5507	C0265253	C0542428	Stickler syndrome	Hypochondrogenesis	344	48	9	5.0		18	0	18	[u'RO', 6]
31	2766	C4015858	C4017425	APOE2 ISOFORMS	APOE2-FUKUOKA PHENOTYPE	419	491394	57	3.0		13	1	13	['N/A', '10']
32	2686	C1850386	C4016946	GIANT AXONAL NEUROPATHY 1	PSEUDOHYPOALDOSTERONISM, TYPE IID, AUTOSOMAL DOMINANT OR RECESSIVE	259	66587	62	7.0		23	0	23	['N/A', '10']
33	4751	C1264039	C1264041	von Willebrand Disease, Type 1	von Willebrand Disease, Type 3	222	65	14	2.0		21	2	21	['N/A', '10']
34	3892	C0079294	C0268374	Epidermolysis Bullosa Dystrophica	Adult junctional epidermolysis bullosa	1176	196	25	2.0		12	2	12	[u'RO', 6]
35	1661	C0023264	C0268237	Leigh Disease	Cytochrome-c Oxidase Deficiency	2270	1395	174	3.0		12	0	12	[u'RO', 6]
36	795	C0007102	C1837315	Malignant tumor of colon	COLORECTAL CANCER, SUSCEPTIBILITY TO, 1	85229	3581	705	2.0		19	0	19	['N/A', '10']
37	2718	C0009691	C0018522	Congenital cataract	Hallermann's Syndrome	4934	201	60	7.0		29	0	29	[u'RO', 6]
38	1473	C0020479	C4017423	Hyperlipoproteinemia Type III	APOE3-WASHINGTON PHENOTYPE	1143	491394	220	6.0		19	0	19	['N/A', '10']
39	400	C0011860	C0158981	Diabetes Mellitus, Non-Insulin-Dependent	Neonatal diabetes mellitus	142114	12461	1972	3.0		15	2	15	[u'RB2', 5]
40	10416	C1706595	C2931923	Pachyonychia Congenita, Jadassohn Lewandowsky Type	Hyperkeratosis of the palms and soles and esophageal papillomas	450	5	1	3.0		20	0	20	[u'RO', 6]
41	210	C0003850	C0270612	Arteriosclerosis	Leukoencephalopathies	168968	29481	4679	7.0		15	0	15	[u'RO', 6]
42	1099	C0270912	C0270922	Charcot-Marie-Tooth Disease, Type Ib	Peripheral demyelinating neuropathy	4570	2245	377	4.0		16	0	16	['N/A', '10']
43	4859	C0342870	C1136249	Bifunctional peroxisomal enzyme deficiency	Mental Retardation, X-Linked	110	14636	14	4.0		12	0	12	[u'RO', 6]
44	5958	C0023931	C0542428	Lobstein's Disease	Hypochondrogenesis	5402	48	7	5.0		14	0	14	[u'RO', 6]
45	486	C0032463	C0836924	Polycythemia Vera	Thrombocytosis	7725	7671	1484	3.0		19	0	19	[u'RO', 6]
46	3788	C0007193	C3149722	Cardiomyopathy, Dilated	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC 18	21868	130	27	1.0		20	1	20	[u'RO', 6]
47	5830	C0024145	C0796126	Chilblain lupus 1	AICARDI-GOUTIERES SYNDROME 1	45	382	8	4.0		17	1	17	[u'RO', 6]
48	4567	C0011265	C3152097	Presenile dementia	AMYOTROPHIC LATERAL SCLEROSIS 14 WITHOUT FRONTOTEMPORAL DEMENTIA	98853	103	16	7.0		15	0	15	['N/A', '10']
49	3531	C0005283	C3279561	beta Thalassemia	HEMOGLOBIN H DISEASE, NONDELETIONAL	14284	121	32	4.0		26	0	26	['N/A', '10']
50	11824	C0005283	C4017449	beta Thalassemia	HEMOGLOBIN I (BURLINGTON) PHENOTYPE	14284	8	1	4.0		12	0	12	['N/A', '10']
51	7829	C0175694	C2931048	Smith-Lemli-Opitz Syndrome	HEM dysplasia	844	11	3	7.0		27	0	27	['N/A', '10']
52	2109	C0346429	C1835398	Multiple malignancy	LI-FRAUMENI SYNDROME 1	215327	454	108	4.0		23	0	23	[u'RO', 6]
53	1899	C0007193	C0410189	Cardiomyopathy, Dilated	Muscular Dystrophy, Emery-Dreifuss	21868	721	130	3.0		18	0	18	[u'RO', 6]
54	5623	C0010273	C4016345	Craniofacial Dysostosis	PFEIFFER SYNDROME, TYPE III	5697	45	9	3.0		20	0	20	['N/A', '10']
55	8977	C0265281	C1868616	Metatropic dwarfism	Parastremmatic dwarfism	43	8	2	2.0		25	1	25	[u'RB2', 5]
56	518	C0033804	C3550478	Pseudohermaphroditism	HYPOGONADOTROPIC HYPOGONADISM 3 WITH OR WITHOUT ANOSMIA	42724	10033	1319	4.0		13	0	13	['N/A', '10']
57	3880	C0041207	C1857586	Truncus Arteriosus, Persistent	CONOTRUNCAL HEART MALFORMATIONS	1013	133	25	2.0		18	0	18	[u'RO', 3]
58	6909	C0349653	C2609069	Congenital disorder of glycosylation type 1A	Enzyme activity decreased	35	108828	5	4.0		14	0	14	['N/A', '10']
59	1577	C0002768	C0020074	Congenital Pain Insensitivity	HSAN Type IV	653	2026	194	3.0		29	0	29	[u'RO', 6]
60	10336	C0271980	C4017529	beta^0^ Thalassemia	HEMOGLOBIN B(2) PHENOTYPE	529	7	1	5.0		14	0	14	['N/A', '10']
61	9896	C0162674	C1843851	Chronic progressive external ophthalmoplegia	Sensory ataxic neuropathy, dysarthria, and ophthalmoparesis	1371	7	1	1.0		14	0	14	[u'RO', 6]
62	3199	C0238462	C1833930	Medullary carcinoma of thyroid	PHEOCHROMOCYTOMA, SOMATIC	7190	236	40			16	0	16	['N/A', '10']
63	6240	C0013336	C2748571	Dwarfism	Isolated Growth Hormone Deficiency, Type IB	17277	24	6			25	0	25	['N/A', '10']
64	1634	C0270612	C0751587	Leukoencephalopathies	CADASIL Syndrome	29481	1227	180			14	0	14	[u'RO', 6]
65	6127	C1283400	C4017556	Butyrylcholinesterase deficiency	CHE*539T PHENOTYPE	54	491394	7			12	0	12	['N/A', '10']
66	6397	C1852510	C3266898	Craniofacial deafness hand syndrome	Waardenburg Syndrome	27	1033	6			22	0	22	[u'RO', 6]
67	8471	C0339526	C1838647	Autosomal recessive retinitis pigmentosa	RETINITIS PIGMENTOSA 12	1150	10	2			20	2	20	['N/A', '10']
68	6225	C0342579	C2748572	Electrolyte imbalance	SeSAME syndrome	8646	27	6			22	0	22	['N/A', '10']
69	6768	C0750384	C4017431	Coumarin Resistance	CYPA6*2 PHENOTYPE	28	491394	5			17	0	17	['N/A', '10']
70	9329	C2939465	C4016542	Deficiency of glucose-6-phosphate dehydrogenase	G6PD JAPAN PHENOTYPE	5461	12	2			16	0	16	['N/A', '10']
71	6617	C1860406	C2745945	VITREORETINOCHOROIDOPATHY	Juvenile-Onset Vitelliform Macular Dystrophy	35	497	5			14	0	14	[u'RO', 6]
72	7351	C0265216	C1839909	X-linked hydrocephalus syndrome	CORPUS CALLOSUM, PARTIAL AGENESIS OF, X-LINKED	144	21	4			19	2	19	['N/A', '10']
73	5922	C0011854	C1833104	Diabetes Mellitus, Insulin-Dependent	DIABETES MELLITUS, PERMANENT NEONATAL	92179	71	8			11	2	11	[u'RO', 6]
74	10405	C1721007	C1840427	Pachyonychia Congenita, Type 2	PALMOPLANTAR KERATODERMA, EPIDERMOLYTIC, WITH KNUCKLE PADS	450	9	1			11	0	11	['N/A', '10']
75	11816	C0079301	C2673612	Junctional Epidermolysis Bullosa	Epidermolysis Bullosa Dystrophica Inversa, Autosomal Recessive	786	4	1			25	2	25	['N/A', '10']
76	6620	C0339510	C1860406	Vitelliform Macular Dystrophy	VITREORETINOCHOROIDOPATHY	497	35	5			14	0	14	['N/A', '10']
77	3699	C1275081	C1860991	Cardio-facio-cutaneous syndrome	NOONAN SYNDROME 3	248	584	28			11	0	11	[u'RO', 6]
78	2767	C0039743	C0410529	Thanatophoric Dysplasia	Hypochondroplasia	502	271	57			21	0	21	[u'RO', 6]
79	1312	C0752166	C3151185	Bardet-Biedl Syndrome	SHORT-RIB THORACIC DYSPLASIA 4 WITH OR WITHOUT POLYDACTYLY	1122	3310	278			24	0	24	['N/A', '10']
80	1222	C0085298	C0949658	Sudden Cardiac Death	Cardiomyopathy, Hypertrophic, Familial	31397	1512	316			20	0	20	[u'RO', 6]
81	5576	C0029464	C3280402	Osteosclerosis	SCLEROSTEOSIS 2	6048	51	9			17	0	17	[u'RO', 6]
82	7131	C0340978	C1834478	May-Hegglin anomaly	MACROTHROMBOCYTOPENIA AND PROGRESSIVE SENSORINEURAL DEAFNESS	281	17	4			23	0	23	[u'RO', 3]
83	9380	C0029456	C0268360	Osteoporosis	Osteogenesis imperfecta, recessive perinatal lethal	81415	16	2			12	0	12	['N/A', '10']
84	6340	C0079661	C1852510	Klein's Syndrome	Craniofacial deafness hand syndrome	1033	27	6			22	0	22	[u'RO', 6]
85	3618	C0085584	C3554067	Encephalopathies	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 11	600000	121	30			24	0	24	['N/A', '10']
86	2126	C0007193	C0574083	Cardiomyopathy, Dilated	3-Methylglutaconic aciduria type 2	21868	656	106			16	0	16	[u'RO', 6]
87	5869	C0346429	C2675080	Multiple malignancy	Li-Fraumeni-Like Syndrome	215327	54	8			14	0	14	['N/A', '10']
88	6242	C0265202	C1868684	Seckel syndrome	EAR, PATELLA, SHORT STATURE SYNDROME	230	44	6			13	0	13	[u'RN2', 4]
89	4915	C0270862	C3553788	Hemiplegic migraine	ALTERNATING HEMIPLEGIA OF CHILDHOOD 2	999	66	13			19	0	19	['N/A', '10']
90	11727	C0002312	C4017449	alpha-Thalassemia	HEMOGLOBIN I (BURLINGTON) PHENOTYPE	7139	8	1			12	0	12	['N/A', '10']
91	2265	C0023264	C0034345	Leigh Disease	Pyruvate Dehydrogenase Complex Deficiency Disease	2270	525	92			17	0	17	[u'RO', 6]
92	3588	C0151686	C0265252	Growth retardation	Coffin-Lowry syndrome	35291	226	31			13	0	13	['N/A', '10']
93	1523	C0026705	C0086647	Mucopolysaccharidosis II	Mucopolysaccharidosis Type IIIA	1323	889	209			23	1	23	[u'RB2', 5]
94	4904	C1321551	C1836635	Shprintzen-Goldberg syndrome	Loeys-Dietz Aortic Aneurysm Syndrome	59	436	13			22	0	22	[u'RO', 6]
95	319	C0007193	C0007194	Cardiomyopathy, Dilated	Hypertrophic Cardiomyopathy	21868	18881	2498			13	1	13	[u'RO', 6]
96	9140	C0268494	C1847132	Oculocutaneous albinism type 1	ALBINISM, OCULOCUTANEOUS, TYPE I, TEMPERATURE-SENSITIVE	53	12	2			16	2	16	['N/A', '10']
97	791	C0013575	C0020608	Ectodermal Dysplasia	Hypodontia	5832	4163	711			17	0	17	[u'RO', 6]
98	641	C0007959	C1408181	Charcot-Marie-Tooth Disease	Neuropathy (motor and sensory)	4570	5798	937			20	0	20	['N/A', '10']
99	8858	C0027726	C1866075	Nephrotic Syndrome	GLOMERULOPATHY WITH FIBRONECTIN DEPOSITS 2	21763	17	2			11	0	11	[u'RO', 6]
100	11156	C0432201	C3668942	Boomerang dysplasia	Atelosteogenesis Type 3	25	4	1			25	0	25	['N/A', '10']
101	7242	C0796176	C1848947	STUVE-WIEDEMANN SYNDROME	COLD-INDUCED SWEATING SYNDROME 1	57	32	4			12	0	12	[u'RO', 6]
102	5939	C0035334	C1536451	Retinitis Pigmentosa	Central areolar choroidal sclerosis	10816	50	8			16	0	16	[u'RO', 6]
103	651	C1302401	C3272841	Adenoma of large intestine	MUTYH-Associate Polyposis	3679	18037	917			24	0	24	[u'RO', 6]
104	3361	C0024796	C0265313	Marfan Syndrome	Weill-Marchesani syndrome	7116	152	36			23	0	23	[u'RO', 6]
105	7623	C0241889	C0268113	Family history	Familial juvenile gout	117019	24	3			12	0	12	[u'RO', 6]
106	3219	C0268595	C0268635	Glutaric aciduria, type 1	Acyl-CoA dehydrogenase deficiency	338	1646	39			11	0	11	[u'RN3', 7]
107	1382	C0339527	C0854723	Leber Congenital Amaurosis	Retinal Dystrophies	931	9449	250			26	0	26	[u'RO', 6]
108	864	C0155626	C1832662	Acute myocardial infarction	MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO	89185	2629	607			23	2	23	[u'RO', 6]
109	731	C0022735	C3550478	Klinefelter Syndrome	HYPOGONADOTROPIC HYPOGONADISM 3 WITH OR WITHOUT ANOSMIA	4232	10033	790			18	0	18	['N/A', '10']
110	2058	C0024141	C1328840	Lupus Erythematosus, Systemic	Autoimmune Lymphoproliferative Syndrome	68503	942	114			12	0	12	[u'RO', 6]
111	3450	C0018553	C0345893	Hamartoma Syndrome, Multiple	Juvenile polyposis syndrome	1768	217	33			15	0	15	[u'RO', 6]
112	9076	C1846357	C3150796	Meckel syndrome type 3	NEPHRONOPHTHISIS 11	8	80	2			25	0	25	['N/A', '10']
113	1758	C0028326	C0587248	Noonan Syndrome	Costello syndrome	2113	665	155			23	0	23	['N/A', '10']
114	9386	C0023264	C1855008	Leigh Disease	Mitochondrial Complex II Deficiency	2270	12	2			16	0	16	['N/A', '10']
115	10592	C2752039	C3463916	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 3	Complement Factor I (C3 inactivator) deficiency	45	5	1			20	0	20	[u'RO', 6]
116	4927	C1861864	C2676271	Cardiomyopathy, Familial Hypertrophic, 2	CARDIOMYOPATHY, FAMILIAL RESTRICTIVE, 3	641	67	13			19	2	19	[u'RO', 6]
117	277	C0004352	C3714756	Autistic Disorder	Intellectual Disability	21522	97825	3133			14	0	14	[u'RO', 6]
118	7956	C0001125	C1839885	Acidosis, Lactic	Leigh Syndrome, X-Linked	8355	25	3			12	0	12	['N/A', '10']
119	4439	C0001627	C1860042	Congenital adrenal hyperplasia	Antley-Bixler Syndrome with Disordered Steroidogenesis	7843	74	18			24	0	24	['N/A', '10']
120	1310	C0007115	C0018553	Malignant neoplasm of thyroid	Hamartoma Syndrome, Multiple	67377	1768	279			15	0	15	[u'RO', 6]
121	9964	C0003119	C1859773	Anophthalmos	Microphthalmia, Syndromic 3	1093	7	1			14	0	14	['N/A', '10']
122	4396	C0342384	C4016670	Idiopathic hypogonadotropic hypogonadism	HYPOGONADOTROPIC HYPOGONADISM 6 WITH ANOSMIA	337	111	18			16	2	16	['N/A', '10']
123	3380	C0010273	C3267076	Craniofacial Dysostosis	Familial scaphocephaly syndrome	5697	289	35			12	0	12	['N/A', '10']
124	11583	C0001623	C0268285	Adrenal gland hypofunction	Adrenal hyperplasia, congenital, type 5	16254	9	1			11	1	11	[u'RO', 6]
125	9489	C0023976	C1865020	Long QT Syndrome	Short QT Syndrome 1	9236	8	2			25	1	25	['N/A', '10']
126	6451	C0013336	C0432230	Dwarfism	Langer Mesomelic Dysplasia Syndrome	17277	32	6			18	0	18	['N/A', '10']
127	2315	C0403440	C1567743	Thin basement membrane disease	Alport Syndrome, Autosomal Dominant	358	2106	87			24	0	24	[u'RO', 6]
128	5616	C1261473	C2675080	Sarcoma	Li-Fraumeni-Like Syndrome	167461	54	9			16	0	16	['N/A', '10']
129	817	C0017661	C0268743	IGA Glomerulonephritis	Membranoproliferative Glomerulonephritis, Type II	7609	3840	669			17	1	17	[u'RO', 6]
130	4764	C1856170	C4015778	ALZHEIMER DISEASE, SUSCEPTIBILITY TO	ALPHA-2-MACROGLOBULIN POLYMORPHISM	3977	93	14			15	0	15	['N/A', '10']
131	6055	C0001418	C2675080	Adenocarcinoma	Li-Fraumeni-Like Syndrome	392635	54	7			12	0	12	['N/A', '10']
132	2481	C0000768	C0751882	Congenital Abnormality	Myasthenic Syndromes, Congenital	591498	621	75			12	0	12	[u'RN2', 4]
133	2921	C0007194	C3150682	Hypertrophic Cardiomyopathy	LEFT VENTRICULAR NONCOMPACTION 4	18881	318	50			15	0	15	['N/A', '10']
134	6156	C0268595	C4017056	Glutaric aciduria, type 1	ISOVALERIC ACIDEMIA, TYPE I	338	26	7			26	0	26	['N/A', '10']
135	9545	C0023264	C1839413	Leigh Disease	Pyruvate Dehydrogenase E1 Alpha Deficiency	2270	15	2			13	0	13	[u'RO', 6]
136	3819	C0079474	C0268374	Hallopeau-Siemens Disease	Adult junctional epidermolysis bullosa	1183	196	26			13	0	13	[u'RO', 6]
137	11344	C0000768	C2931258	Congenital Abnormality	Amaurosis congenita of Leber, type 1	591498	5	1			20	0	20	[u'RB2', 5]
