	Unnamed: 0	Unnamed: 0.1	CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Group Average	My Input	Target	Name Relations	Paper Relations	Concept Relation	ID Relation	Num Relations	Num Atoms	Context Type
0	0	0	C3889305	C3891922	HEMOGLOBIN BRIGHAM PHENOTYPE	HEMOGLOBIN A(2) CANADA PHENOTYPE	14	8	2	2.333333333	2.0	3	2	25	0	0	0	1	True
1	1	1	C0015503	C0015526	Factor VII Deficiency	Factor XII Deficiency	1829	871	110	4.5	2.0	2	1	12	0	1	0	25	True
2	2	2	C0699743	C1846672	Congenital muscular dystrophy	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2I	3138	17	4	1.6666666669999999	2.0	2	2	23	2	0	2	11	True
3	3	3	C0009952	C4016378	Febrile Convulsions	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 11, MILD	5067	10	2	3.666666667	6.0	5	0	20	0	0	0	1	False
4	4	4	C1876175	C3469522	Ataxia-Telangiectasia Variant	BREAST CANCER, SUSCEPTIBILITY TO	267	12696	32	7.666666667	5.0	3	0	11	0	1	0	6	False
5	5	5	C0265253	C0265279	Stickler syndrome	Kniest dysplasia	344	78	11	3.666666667	3.0	3	0	14	2	2	1	24	False
6	6	6	C0085390	C1510426	Li-Fraumeni Syndrome	choroid plexus carcinoma, childhood	1216	39	8	5.5	10.0	8	0	20	2	0	1	4	False
7	7	7	C0018553	C1868081	Hamartoma Syndrome, Multiple	Juvenile Polyposis Coli	1768	280	35	5.0	10.0	8	0	12	0	0	0	2	False
8	8	8	C0403553	C1857662	Renal dysplasia and retinal aplasia	COACH syndrome	108	27	3	4.5	9.0	7	0	11	0	0	0	19	True
9	9	9	C0006142	C4015968	Malignant neoplasm of breast	RECLASSIFIED - VARIANT OF UNKNOWN SIGNIFICANCE	309961	6	1	7.5	8.0	8	0	16	0	0	0	25	False
10	10	10	C1867983	C2673195	PORENCEPHALY, FAMILIAL	Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps	544	6	1	3.5	6.0	5	0	16	0	2	0	18	True
11	11	11	C0268276	C4310893	Juvenile GM 2 gangliosidosis	GM2-GANGLIOSIDOSIS, ADULT-ONSET	133	43	8	2.0	2.0	2	1	18	0	1	0	1	True
12	12	12	C1838100	C3275844	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3	DIABETES MELLITUS, TYPE II, SUSCEPTIBILITY TO	43	6764	8	3.0	2.0	2	1	18	0	1	0	3	False
13	13	13	C0013720	C1858084	Ehlers-Danlos Syndrome	STICKLER SYNDROME, TYPE II	3717	7	1	6.5	8.0	7	0	14	0	0	0	13	True
14	14	14	C1865643	C4272382	Cholestasis, progressive familial intrahepatic 3	progressive familial intrahepatic cholestasis type 2	36	138	7	2.0	1.0	1	4	19	0	0	0	2	True
