	Unnamed: 0	CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Target	Alogrithm Entry	User Entry	STD	different1	different2
0	0	C3889305	C3891922	HEMOGLOBIN BRIGHAM PHENOTYPE	HEMOGLOBIN A(2) CANADA PHENOTYPE	14	8	2	3	2	2.25	0.5	True	True
1	1	C0015503	C0015526	Factor VII Deficiency	Factor XII Deficiency	1829	871	110	2	2	3.67	2.89	True	True
2	2	C0699743	C1846672	Congenital muscular dystrophy	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2I	3138	17	4	2	2	1.75	0.5	True	True
3	3	C0009952	C4016378	Febrile Convulsions	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 11, MILD	5067	10	2	5	5	4.25	2.06	True	True
4	4	C1876175	C3469522	Ataxia-Telangiectasia Variant	BREAST CANCER, SUSCEPTIBILITY TO	267	12696	32	3	3	7.0	3.56	False	False
5	5	C0265253	C0265279	Stickler syndrome	Kniest dysplasia	344	78	11	3	3	3.5	1.73	True	True
6	6	C0085390	C1510426	Li-Fraumeni Syndrome	choroid plexus carcinoma, childhood	1216	39	8	8	8	7.0	3.0	True	True
7	7	C0018553	C1868081	Hamartoma Syndrome, Multiple	Juvenile Polyposis Coli	1768	280	35	8	8	6.25	2.87	True	True
8	8	C0403553	C1857662	Renal dysplasia and retinal aplasia	COACH syndrome	108	27	3	7	7	6.0	2.65	True	True
9	9	C0006142	C4015968	Malignant neoplasm of breast	RECLASSIFIED - VARIANT OF UNKNOWN SIGNIFICANCE	309961	6	1	8	8	7.67	2.52	True	True
10	10	C1867983	C2673195	PORENCEPHALY, FAMILIAL	Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps	544	6	1	5	5	4.33	1.53	True	True
11	11	C0268276	C4310893	Juvenile GM 2 gangliosidosis	GM2-GANGLIOSIDOSIS, ADULT-ONSET	133	43	8	2	2	2.0	0.0	True	True
12	12	C1838100	C3275844	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3	DIABETES MELLITUS, TYPE II, SUSCEPTIBILITY TO	43	6764	8	2	2	2.67	1.15	True	True
13	13	C0013720	C1858084	Ehlers-Danlos Syndrome	STICKLER SYNDROME, TYPE II	3717	7	1	7	7	7.0	1.0	True	True
14	14	C1865643	C4272382	Cholestasis, progressive familial intrahepatic 3	progressive familial intrahepatic cholestasis type 2	36	138	7	1	1	1.75	0.96	True	True
