Original Row	CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence	Percent Common Papers
8853	C3889305	C3891922	HEMOGLOBIN BRIGHAM PHENOTYPE	HEMOGLOBIN A(2) CANADA PHENOTYPE	14	8	2	3		25
2085	C0015503	C0015526	Factor VII Deficiency	Factor XII Deficiency	1829	871	110	2		12
7348	C0699743	C1846672	Congenital muscular dystrophy	"MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2I"	3138	17	4	2		23
8976	C0009952	C4016378	Febrile Convulsions	"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 11, MILD"	5067	10	2	3		20
3529	C1876175	C3469522	Ataxia-Telangiectasia Variant	"BREAST CANCER, SUSCEPTIBILITY TO"	267	12696	32	4		11
5171	C0265253	C0265279	Stickler syndrome	Kniest dysplasia	344	78	11	5		14
5737	C0085390	C1510426	Li-Fraumeni Syndrome	"choroid plexus carcinoma, childhood"	1216	39	8	7		20
3408	C0018553	C1868081	"Hamartoma Syndrome, Multiple"	Juvenile Polyposis Coli	1768	280	35	5		12
8002	C0403553	C1857662	Renal dysplasia and retinal aplasia	COACH syndrome	108	27	3	9		11
12384	C0006142	C4015968	Malignant neoplasm of breast	RECLASSIFIED - VARIANT OF UNKNOWN SIGNIFICANCE	309961	6	1	8		16
11284	C1867983	C2673195	"PORENCEPHALY, FAMILIAL"	"Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps"	544	6	1	2		16
5795	C0268276	C4310893	Juvenile GM 2 gangliosidosis	"GM2-GANGLIOSIDOSIS, ADULT-ONSET"	133	43	8	2		18
5888	C1838100	C3275844	"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3"	"DIABETES MELLITUS, TYPE II, SUSCEPTIBILITY TO"	43	6764	8	2		18
9922	C0013720	C1858084	Ehlers-Danlos Syndrome	"STICKLER SYNDROME, TYPE II"	3717	7	1	6		14
6019	C1865643	C4272382	"Cholestasis, progressive familial intrahepatic 3"	progressive familial intrahepatic cholestasis type 2	36	138	7	2		19
