CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence	
C0010278	C0021359	Craniosynostosis	Infertility	6837	89090	3			1	3
C0175701	C4016488	Aarskog syndrome	AARSKOG-SCOTT SYNDROME WITH ATTENTION DEFICIT-HYPERACTIVITY DISORDER	110	4	3			0	1
C0039292	C1527336	Tangier Disease	Sjogren's Syndrome	742	15201	3			1	1
C0403553	C1857662	Renal dysplasia and retinal aplasia	COACH syndrome	108	27	3			1	2
C0030567	C3711381	Parkinson Disease	Hereditary Diffuse Leukoencephalopathy with Spheroids	73702	83	3			1	2
C1868598	C1876203	PARIETAL FORAMINA	Frontonasal dysplasia	121	185	3			1	2
C0027819	C4016397	Neuroblastoma	CHRONIC MYELOID LEUKEMIA, RESISTANT TO IMATINIB	39783	1436	3			1	1
C0040156	C1859979	Thyrotoxicosis	Precocious puberty in males	9193	2767	3			1	1
C0265234	C4048228	Branchio-Oto-Renal Syndrome	Congenital anomaly of anterior segment of eye	317	4607	3			1	2
C0265234	C0339309	Branchio-Oto-Renal Syndrome	Congenital anomaly of iris	317	2457	3			1	2
C3151568	C4228353	NEPHROTIC SYNDROME, TYPE 4	Cardiac malformations	635	168650	3			1	1
C0158646	C0549473	Cleft palate with cleft lip	Thyroid carcinoma	15183	68555	3			1	1
C0339539	C1858262	Familial Exudative Vitreoretinopathy	EXUDATIVE VITREORETINOPATHY, DIGENIC	320	3	3			0	2
C0271990	C3889325	delta-Thalassemia	HEMOGLOBIN E PHENOTYPE	660	135	3			1	2
C0342384	C0346300	Idiopathic hypogonadotropic hypogonadism	Pituitary carcinoma	337	35065	3			1	2
C0009207	C3553298	Cockayne Syndrome	UV-SENSITIVE SYNDROME 2	1225	3	3			1	2
C0080024	C0221013	Piebaldism	Mastocytosis, Systemic	334	2170	3			1	2
C0023461	C0080024	Leukemia, Mast-Cell	Piebaldism	1772	334	3			1	2
C0265286	C3888088	Dyggve-Melchior-Clausen syndrome	SMITH-MCCORT DYSPLASIA 1	66	5	3			0	1
C3541518	C4016054	ECTOPIA LENTIS 1, ISOLATED, AUTOSOMAL DOMINANT	MARFAN SYNDROME, NEONATAL	13	429	3			0	1
C0079744	C0162872	Diffuse Large B-Cell Lymphoma	Aortic Aneurysm, Thoracic	24275	19227	3			1	1
C0029464	C0432252	Osteosclerosis	Osteoporosis with pseudoglioma	6048	118	3			1	2
C0011195	C2608082	Dejerine-Sottas Disease	Charcot-Marie-Tooth disease type 4f (diagnosis)	6822	3	3			1	2
C0268363	C1567743	Osteogenesis imperfecta type IV	Alport Syndrome, Autosomal Dominant	369	2106	3			1	2
C0002312	C4285057	alpha-Thalassemia	HEMOGLOBIN MEMPHIS PHENOTYPE	7139	14	3			0	1
C0300948	C1531773	Caudal Regression Syndrome	Currarino triad	321	114	3			1	2
C0238339	C1842402	Hereditary pancreatitis	TROPICAL CALCIFIC PANCREATITIS	522	63	3			0	3
C0036341	C0085220	Schizophrenia	Cerebral Amyloid Angiopathy	134381	2894	3			1	1
C0242383	C1527336	Age related macular degeneration	Sjogren's Syndrome	29421	15201	3			1	1
C0238357	C0752124	Hyperkalemic periodic paralysis	Spinocerebellar Ataxia Type 6	380	6691	3			1	2
C0345893	C4016725	Juvenile polyposis syndrome	TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE II	217	233	3			1	2
C0005586	C0341862	Bipolar Disorder	Hypothalamic amenorrhea	48102	2122	3			1	1
