Unnamed: 0.1	Original Row	CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence	User Choice	Percent Common Papers	Name Relations	Concept Relation	ID Relation	Num Relations	Num Atoms
0	8853	C3889305	C3891922	HEMOGLOBIN BRIGHAM PHENOTYPE	HEMOGLOBIN A(2) CANADA PHENOTYPE	14	8	2	3		3	25	2	0	0	0	1
1	2085	C0015503	C0015526	Factor VII Deficiency	Factor XII Deficiency	1829	871	110	2		2	12	1	0	1	0	25
2	7348	C0699743	C1846672	Congenital muscular dystrophy	"MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2I"	3138	17	4	2		2	23	2	0	0	2	11
3	8976	C0009952	C4016378	Febrile Convulsions	"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 11, MILD"	5067	10	2	3			20	0	0	0	0	1
4	3529	C1876175	C3469522	Ataxia-Telangiectasia Variant	"BREAST CANCER, SUSCEPTIBILITY TO"	267	12696	32	4			11	0	0	1	0	6
5	5171	C0265253	C0265279	Stickler syndrome	Kniest dysplasia	344	78	11	5			14	0	0	2	1	24
6	5737	C0085390	C1510426	Li-Fraumeni Syndrome	"choroid plexus carcinoma, childhood"	1216	39	8	7			20	0	0	0	1	4
7	3408	C0018553	C1868081	"Hamartoma Syndrome, Multiple"	Juvenile Polyposis Coli	1768	280	35	5			12	0	0	0	0	2
8	8002	C0403553	C1857662	Renal dysplasia and retinal aplasia	COACH syndrome	108	27	3	9			11	0	0	0	0	19
9	12384	C0006142	C4015968	Malignant neoplasm of breast	RECLASSIFIED - VARIANT OF UNKNOWN SIGNIFICANCE	309961	6	1	8			16	0	0	0	0	25
10	11284	C1867983	C2673195	"PORENCEPHALY, FAMILIAL"	"Angiopathy, Hereditary, With Nephropathy, Aneurysms, And Muscle Cramps"	544	6	1	2			16	0	0	2	0	18
11	5795	C0268276	C4310893	Juvenile GM 2 gangliosidosis	"GM2-GANGLIOSIDOSIS, ADULT-ONSET"	133	43	8	2			18	1	0	1	0	1
12	5888	C1838100	C3275844	"MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3"	"DIABETES MELLITUS, TYPE II, SUSCEPTIBILITY TO"	43	6764	8	2			18	1	0	1	0	3
13	9922	C0013720	C1858084	Ehlers-Danlos Syndrome	"STICKLER SYNDROME, TYPE II"	3717	7	1	6			14	0	0	0	0	13
14	6019	C1865643	C4272382	"Cholestasis, progressive familial intrahepatic 3"	progressive familial intrahepatic cholestasis type 2	36	138	7	2			19	4	0	0	0	2
15	1077	C0010273	C0220658	Craniofacial Dysostosis	Pfeiffer Syndrome	5697	2199	388	3			17	0	0	2	4	24
16	3476	C0033806	C0334041	Pseudohypoparathyroidism	Osteoma cutis	1855	209	33	7			15	0	0	2	1	25
17	2032	C0338503	C0857439	Septo-Optic Dysplasia	Pituitary hormone deficiency	461	18247	117	9			25	0	0	0	1	17
18	5949	C0406704	C1858562	Rudiger syndrome 1	"ECTRODACTYLY, ECTODERMAL DYSPLASIA, AND CLEFT LIP/PALATE SYNDROME 3"	45	58	7	2			15	0	0	0	2	7
19	7825	C0035372	C1968550	Rett Syndrome	"Mental Retardation, X-Linked, Syndromic 13"	3467	14	3	2			21	0	0	0	1	5
20	2697	C0021359	C0342384	Infertility	Idiopathic hypogonadotropic hypogonadism	89090	337	61	2			18	0	0	2	2	13
21	1442	C0020538	C1851511	Hypertensive disease	"PREECLAMPSIA, SUSCEPTIBILITY TO"	480148	818	229	2			27	0	0	0	0	1
22	1882	C0022579	C0265334	Keratoderma	Pachyonychia Congenita	2901	450	132	4			29	0	0	0	3	22
23	1823	C0238111	C1096063	Lennox-Gastaut syndrome	Drug Resistant Epilepsy	1285	4695	143	3			11	0	0	0	0	25
24	2151	C0017668	C3151568	Focal glomerulosclerosis	"NEPHROTIC SYNDROME, TYPE 4"	7182	635	103	3			16	0	0	0	2	5
25	10689	C0267663	C2678346	"Congenital secretory diarrhea, sodium type"	"Diarrhea 3, Secretory Sodium, Congenital, Syndromic"	7	4	1	2			25	3	0	1	0	3
26	2070	C0234166	C4084968	Hyperexplexia	Hereditary Hyperekplexia	384	879	111	1			28	0	3	2	2	5
27	5087	C0342384	C4016133	Idiopathic hypogonadotropic hypogonadism	HYPOGONADOTROPIC HYPOGONADISM 7 WITH ANOSMIA	337	73	12	2			16	2	0	0	0	1
28	819	C0017661	C0017662	IGA Glomerulonephritis	"Glomerulonephritis, Membranoproliferative"	7609	3840	669	1			17	1	3	1	11	25
29	9037	C1527405	C3889305	Erythrocytosis	HEMOGLOBIN BRIGHAM PHENOTYPE	14085	14	2	5			14	0	0	0	0	1
30	5507	C0265253	C0542428	Stickler syndrome	Hypochondrogenesis	344	48	9	5			18	0	0	2	3	11
31	2766	C4015858	C4017425	APOE2 ISOFORMS	APOE2-FUKUOKA PHENOTYPE	419	491394	57	3			13	1	0	0	0	0
32	2686	C1850386	C4016946	GIANT AXONAL NEUROPATHY 1	"PSEUDOHYPOALDOSTERONISM, TYPE IID, AUTOSOMAL DOMINANT OR RECESSIVE"	259	66587	62	7			23	0	0	0	0	1
33	4751	C1264039	C1264041	"von Willebrand Disease, Type 1"	"von Willebrand Disease, Type 3"	222	65	14	2			21	2	0	1	0	25
34	3892	C0079294	C0268374	Epidermolysis Bullosa Dystrophica	Adult junctional epidermolysis bullosa	1176	196	25	2			12	2	0	0	0	21
35	1661	C0023264	C0268237	Leigh Disease	Cytochrome-c Oxidase Deficiency	2270	1395	174	3			12	0	0	0	2	25
36	795	C0007102	C1837315	Malignant tumor of colon	"COLORECTAL CANCER, SUSCEPTIBILITY TO, 1"	85229	3581	705	2			19	0	0	0	0	5
37	2718	C0009691	C0018522	Congenital cataract	Hallermann's Syndrome	4934	201	60	7			29	0	0	0	2	24
38	1473	C0020479	C4017423	Hyperlipoproteinemia Type III	APOE3-WASHINGTON PHENOTYPE	1143	491394	220	6			19	0	0	0	0	0
39	400	C0011860	C0158981	"Diabetes Mellitus, Non-Insulin-Dependent"	Neonatal diabetes mellitus	142114	12461	1972	3			15	2	0	0	1	25
40	10416	C1706595	C2931923	"Pachyonychia Congenita, Jadassohn Lewandowsky Type"	Hyperkeratosis of the palms and soles and esophageal papillomas	450	5	1	3			20	0	0	2	1	16
41	210	C0003850	C0270612	Arteriosclerosis	Leukoencephalopathies	168968	29481	4679	7			15	0	0	0	4	25
42	1099	C0270912	C0270922	"Charcot-Marie-Tooth Disease, Type Ib"	Peripheral demyelinating neuropathy	4570	2245	377	4			16	0	0	0	0	24
43	4859	C0342870	C1136249	Bifunctional peroxisomal enzyme deficiency	"Mental Retardation, X-Linked"	110	14636	14	4			12	0	0	0	0	20
44	5958	C0023931	C0542428	Lobstein's Disease	Hypochondrogenesis	5402	48	7	5			14	0	0	0	2	11
45	486	C0032463	C0836924	Polycythemia Vera	Thrombocytosis	7725	7671	1484	3			19	0	0	2	9	24
46	3788	C0007193	C3149722	"Cardiomyopathy, Dilated"	"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC 18"	21868	130	27	1			20	1	0	0	1	1
47	5830	C0024145	C0796126	Chilblain lupus 1	AICARDI-GOUTIERES SYNDROME 1	45	382	8	4			17	1	0	1	1	4
48	4567	C0011265	C3152097	Presenile dementia	AMYOTROPHIC LATERAL SCLEROSIS 14 WITHOUT FRONTOTEMPORAL DEMENTIA	98853	103	16	7			15	0	0	0	0	2
49	3531	C0005283	C3279561	beta Thalassemia	"HEMOGLOBIN H DISEASE, NONDELETIONAL"	14284	121	32	4			26	0	0	0	0	4
50	11824	C0005283	C4017449	beta Thalassemia	HEMOGLOBIN I (BURLINGTON) PHENOTYPE	14284	8	1	4			12	0	0	0	0	2
51	7829	C0175694	C2931048	Smith-Lemli-Opitz Syndrome	HEM dysplasia	844	11	3	7			27	0	0	0	0	19
52	2109	C0346429	C1835398	Multiple malignancy	LI-FRAUMENI SYNDROME 1	215327	454	108	4			23	0	0	0	2	7
53	1899	C0007193	C0410189	"Cardiomyopathy, Dilated"	"Muscular Dystrophy, Emery-Dreifuss"	21868	721	130	3			18	0	0	0	2	25
54	5623	C0010273	C4016345	Craniofacial Dysostosis	"PFEIFFER SYNDROME, TYPE III"	5697	45	9				20	0	0	2	0	1
